PSNR - 0020.png: 10.1150, num_target: 10.0000, num_group: 25.0000
RSE - 0020.png: 0.7659, num_target: 10.0000, num_group: 25.0000
Time - 0020.png: 4.6005, num_target: 10.0000, num_group: 25.0000
PSNR - 0020.png: 12.3280, num_target: 10.0000, num_group: 30.0000
RSE - 0020.png: 0.5937, num_target: 10.0000, num_group: 30.0000
Time - 0020.png: 5.3770, num_target: 10.0000, num_group: 30.0000
PSNR - 0020.png: 14.0399, num_target: 10.0000, num_group: 35.0000
RSE - 0020.png: 0.4875, num_target: 10.0000, num_group: 35.0000
Time - 0020.png: 10.9054, num_target: 10.0000, num_group: 35.0000
PSNR - 0020.png: 12.6738, num_target: 10.0000, num_group: 40.0000
RSE - 0020.png: 0.5705, num_target: 10.0000, num_group: 40.0000
Time - 0020.png: 9.2774, num_target: 10.0000, num_group: 40.0000
PSNR - 0020.png: 13.3120, num_target: 10.0000, num_group: 45.0000
RSE - 0020.png: 0.5301, num_target: 10.0000, num_group: 45.0000
Time - 0020.png: 11.8292, num_target: 10.0000, num_group: 45.0000
PSNR - 0020.png: 12.4042, num_target: 10.0000, num_group: 50.0000
RSE - 0020.png: 0.5885, num_target: 10.0000, num_group: 50.0000
Time - 0020.png: 13.0455, num_target: 10.0000, num_group: 50.0000
PSNR - 0020.png: 10.2206, num_target: 15.0000, num_group: 10.0000
RSE - 0020.png: 0.7567, num_target: 15.0000, num_group: 10.0000
Time - 0020.png: 1.6376, num_target: 15.0000, num_group: 10.0000
PSNR - 0020.png: 10.6442, num_target: 15.0000, num_group: 15.0000
RSE - 0020.png: 0.7207, num_target: 15.0000, num_group: 15.0000
Time - 0020.png: 2.2378, num_target: 15.0000, num_group: 15.0000
PSNR - 0020.png: 12.2076, num_target: 15.0000, num_group: 20.0000
RSE - 0020.png: 0.6020, num_target: 15.0000, num_group: 20.0000
Time - 0020.png: 3.5046, num_target: 15.0000, num_group: 20.0000
PSNR - 0020.png: 15.4136, num_target: 15.0000, num_group: 25.0000
RSE - 0020.png: 0.4162, num_target: 15.0000, num_group: 25.0000
Time - 0020.png: 4.2301, num_target: 15.0000, num_group: 25.0000
PSNR - 0020.png: 11.9003, num_target: 15.0000, num_group: 30.0000
RSE - 0020.png: 0.6236, num_target: 15.0000, num_group: 30.0000
Time - 0020.png: 5.7723, num_target: 15.0000, num_group: 30.0000
PSNR - 0020.png: 13.6516, num_target: 15.0000, num_group: 35.0000
RSE - 0020.png: 0.5098, num_target: 15.0000, num_group: 35.0000
Time - 0020.png: 8.0326, num_target: 15.0000, num_group: 35.0000
PSNR - 0020.png: 16.6534, num_target: 15.0000, num_group: 40.0000
RSE - 0020.png: 0.3608, num_target: 15.0000, num_group: 40.0000
Time - 0020.png: 8.4471, num_target: 15.0000, num_group: 40.0000
PSNR - 0020.png: 14.8152, num_target: 15.0000, num_group: 45.0000
RSE - 0020.png: 0.4458, num_target: 15.0000, num_group: 45.0000
Time - 0020.png: 11.4783, num_target: 15.0000, num_group: 45.0000
PSNR - 0020.png: 14.7442, num_target: 15.0000, num_group: 50.0000
RSE - 0020.png: 0.4495, num_target: 15.0000, num_group: 50.0000
Time - 0020.png: 13.1230, num_target: 15.0000, num_group: 50.0000
PSNR - 0020.png: 11.8466, num_target: 20.0000, num_group: 10.0000
RSE - 0020.png: 0.6275, num_target: 20.0000, num_group: 10.0000
Time - 0020.png: 1.2868, num_target: 20.0000, num_group: 10.0000
PSNR - 0020.png: 11.2775, num_target: 20.0000, num_group: 15.0000
RSE - 0020.png: 0.6700, num_target: 20.0000, num_group: 15.0000
Time - 0020.png: 2.1493, num_target: 20.0000, num_group: 15.0000
PSNR - 0020.png: 13.7325, num_target: 20.0000, num_group: 20.0000
RSE - 0020.png: 0.5050, num_target: 20.0000, num_group: 20.0000
Time - 0020.png: 3.1757, num_target: 20.0000, num_group: 20.0000
PSNR - 0020.png: 12.5655, num_target: 20.0000, num_group: 25.0000
RSE - 0020.png: 0.5777, num_target: 20.0000, num_group: 25.0000
Time - 0020.png: 4.2090, num_target: 20.0000, num_group: 25.0000
PSNR - 0020.png: 15.9132, num_target: 20.0000, num_group: 30.0000
RSE - 0020.png: 0.3929, num_target: 20.0000, num_group: 30.0000
Time - 0020.png: 5.4385, num_target: 20.0000, num_group: 30.0000
PSNR - 0020.png: 18.6925, num_target: 20.0000, num_group: 35.0000
RSE - 0020.png: 0.2853, num_target: 20.0000, num_group: 35.0000
Time - 0020.png: 15.1047, num_target: 20.0000, num_group: 35.0000
PSNR - 0020.png: 15.8356, num_target: 20.0000, num_group: 40.0000
RSE - 0020.png: 0.3964, num_target: 20.0000, num_group: 40.0000
Time - 0020.png: 9.6643, num_target: 20.0000, num_group: 40.0000
PSNR - 0020.png: 19.5176, num_target: 20.0000, num_group: 45.0000
